date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source,date_str,day_of_week,days_until_dep,is_direct,duration_h,month,week
2026-03-16,61.36,EUR,Iberia,0,105,2026-03-16 12:45:00,2026-03-16 15:30:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,67.21,EUR,Iberia,0,105,2026-03-16 17:55:00,2026-03-16 20:40:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,62.0,EUR,Vueling Airlines,0,105,2026-03-16 12:45:00,2026-03-16 15:30:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,147.0,EUR,Royal Air Maroc,0,105,2026-03-16 09:15:00,2026-03-16 12:00:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,147.0,EUR,Royal Air Maroc,0,105,2026-03-16 15:20:00,2026-03-16 18:05:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,81.0,EUR,Vueling Airlines,0,105,2026-03-16 17:55:00,2026-03-16 20:40:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,171.99,EUR,Royal Air Maroc,0,105,2026-03-16 12:45:00,2026-03-16 15:30:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,162.0,EUR,Iberia,0,105,2026-03-16 09:15:00,2026-03-16 12:00:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,193.99,EUR,Royal Air Maroc,0,105,2026-03-16 17:55:00,2026-03-16 20:40:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-16,143.0,EUR,Iberia,0,105,2026-03-16 15:20:00,2026-03-16 18:05:00,CMN,MAD,2026-03-13 16:18:12.709902,unified-search,260316,Monday,3,1,1.75,3,12
2026-03-17,147.99,EUR,Royal Air Maroc,0,105,2026-03-17 15:20:00,2026-03-17 18:05:00,CMN,MAD,2026-03-13 16:18:22.799125,unified-search,260317,Tuesday,4,1,1.75,3,12
2026-03-17,266.96,EUR,Iberia,0,105,2026-03-17 12:45:00,2026-03-17 15:30:00,CMN,MAD,2026-03-13 16:18:22.799125,unified-search,260317,Tuesday,4,1,1.75,3,12
2026-03-17,188.0,EUR,Iberia,0,105,2026-03-17 15:20:00,2026-03-17 18:05:00,CMN,MAD,2026-03-13 16:18:22.799125,unified-search,260317,Tuesday,4,1,1.75,3,12
2026-03-17,440.35,EUR,Royal Air Maroc,0,105,2026-03-17 12:45:00,2026-03-17 15:30:00,CMN,MAD,2026-03-13 16:18:22.799125,unified-search,260317,Tuesday,4,1,1.75,3,12
2026-03-17,334.0,EUR,Vueling Airlines,0,105,2026-03-17 12:45:00,2026-03-17 15:30:00,CMN,MAD,2026-03-13 16:18:22.799125,unified-search,260317,Tuesday,4,1,1.75,3,12
2026-03-17,213.0,EUR,Royal Air Maroc,1,260,2026-03-17 10:10:00,2026-03-17 15:30:00,CMN,MAD,2026-03-13 16:18:22.799125,unified-search,260317,Tuesday,4,0,4.33,3,12
2026-03-17,110.97,EUR,TAP Air Portugal,1,400,2026-03-17 15:50:00,2026-03-17 23:30:00,CMN,MAD,2026-03-13 16:18:22.799125,unified-search,260317,Tuesday,4,0,6.67,3,12
2026-03-17,165.0,EUR,Royal Air Maroc,1,285,2026-03-17 15:35:00,2026-03-17 21:20:00,CMN,MAD,2026-03-13 16:18:22.799125,unified-search,260317,Tuesday,4,0,4.75,3,12
2026-03-18,78.97,EUR,Iberia,0,105,2026-03-18 12:45:00,2026-03-18 15:30:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,1,1.75,3,12
2026-03-18,94.0,EUR,Royal Air Maroc,0,105,2026-03-18 09:15:00,2026-03-18 12:00:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,1,1.75,3,12
2026-03-18,169.0,EUR,Royal Air Maroc,0,105,2026-03-18 15:20:00,2026-03-18 18:05:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,1,1.75,3,12
2026-03-18,81.0,EUR,Vueling Airlines,0,105,2026-03-18 12:45:00,2026-03-18 15:30:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,1,1.75,3,12
2026-03-18,162.0,EUR,Iberia,0,105,2026-03-18 15:20:00,2026-03-18 18:05:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,1,1.75,3,12
2026-03-18,127.0,EUR,Iberia,0,105,2026-03-18 09:15:00,2026-03-18 12:00:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,1,1.75,3,12
2026-03-18,223.99,EUR,Royal Air Maroc,0,105,2026-03-18 12:45:00,2026-03-18 15:30:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,1,1.75,3,12
2026-03-18,724.97,EUR,Qatar Airways,0,105,2026-03-18 12:45:00,2026-03-18 15:30:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,1,1.75,3,12
2026-03-18,156.8,EUR,Pegasus Airlines,1,635,2026-03-18 00:10:00,2026-03-18 11:45:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,0,10.58,3,12
2026-03-18,106.0,EUR,TAP Air Portugal,1,670,2026-03-18 11:20:00,2026-03-18 23:30:00,CMN,MAD,2026-03-13 16:18:32.286107,unified-search,260318,Wednesday,5,0,11.17,3,12
2026-03-19,77.92,EUR,Air Arabia Maroc,0,105,2026-03-19 14:20:00,2026-03-19 17:05:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-19,99.0,EUR,Iberia,0,105,2026-03-19 17:55:00,2026-03-19 20:40:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-19,102.0,EUR,Vueling Airlines,0,105,2026-03-19 17:55:00,2026-03-19 20:40:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-19,197.0,EUR,Royal Air Maroc,0,105,2026-03-19 09:15:00,2026-03-19 12:00:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
2026-03-19,215.97,EUR,Iberia,0,105,2026-03-19 09:15:00,2026-03-19 12:00:00,CMN,MAD,2026-03-13 16:18:43.647082,unified-search,260319,Thursday,6,1,1.75,3,12
