date,price,currency,airline,stops,duration_min,departure,arrival,origin,destination,scraped_at,source
260317,52.97,EUR,Air Arabia Maroc,0,105,2026-03-17T17:55:00,2026-03-17T20:40:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,147.99,EUR,Royal Air Maroc,0,105,2026-03-17T15:20:00,2026-03-17T18:05:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,266.96,EUR,Iberia,0,105,2026-03-17T12:45:00,2026-03-17T15:30:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,188.0,EUR,Iberia,0,105,2026-03-17T15:20:00,2026-03-17T18:05:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,440.35,EUR,Royal Air Maroc,0,105,2026-03-17T12:45:00,2026-03-17T15:30:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,334.0,EUR,Vueling Airlines,0,105,2026-03-17T12:45:00,2026-03-17T15:30:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,1542.97,EUR,Qatar Airways,0,105,2026-03-17T12:45:00,2026-03-17T15:30:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,213.0,EUR,Royal Air Maroc,1,260,2026-03-17T10:10:00,2026-03-17T15:30:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,110.97,EUR,TAP Air Portugal,1,400,2026-03-17T15:50:00,2026-03-17T23:30:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260317,165.0,EUR,Royal Air Maroc,1,285,2026-03-17T15:35:00,2026-03-17T21:20:00,CMN,MAD,2026-03-13T16:18:22.799125,unified-search
260318,78.97,EUR,Iberia,0,105,2026-03-18T12:45:00,2026-03-18T15:30:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
260318,94.0,EUR,Royal Air Maroc,0,105,2026-03-18T09:15:00,2026-03-18T12:00:00,CMN,MAD,2026-03-13T16:18:32.286107,unified-search
